ax (m/s^2),ay (m/s^2),az (m/s^2)
0.076,-1.682,-0.1885
-3.3736,0.5703,0.843
3.2983,2.4708,1.5212
1.2502,-1.8856,-1.2125
1.2312,1.8978,-0.9926
-0.7956,-1.516,0.312
-4.6594,1.5561,6.701
-2.0328,1.2267,3.6321
-0.3053,0.3329,5.1595
-4.5067,-0.3057,5.6835
6.8021,2.488,3.9773
-5.6465,-1.4206,2.6835
-5.2172,-2.4292,1.2809
-4.9296,1.7175,-0.8411
-0.9234,-0.5345,2.3871
3.2707,-1.9187,-0.1991
8.6787,-1.7444,4.1512
-3.8818,0.2776,0.219
-3.1282,-0.0927,3.9807
-4.6337,1.7033,0.0339
-0.1255,2.4956,-1.6292
-0.916,-1.3985,-1.5074
-3.3479,3.3577,0.4409
8.2566,-3.5355,1.1485
0.1203,3.9742,-2.0215
-0.8723,0.0278,0.6952
-2.8853,-3.2753,0.9852
-5.9762,2.0572,5.6746
-1.5223,-1.0183,6.0968
-1.297,-0.3558,-1.4503
2.3009,2.0617,-0.8155
5.5169,0.8868,2.9164
-0.1897,-1.5655,-0.1351
-0.6949,-1.3411,-2.1022
4.7443,1.5836,-0.4131
0.606,0.4909,4.7216
1.8222,-1.7666,-1.2484
-1.6128,0.7041,5.2839
-2.9732,-1.4932,2.0014
-0.3166,-0.6797,-1.2508
-5.7507,3.2929,3.1759
1.017,3.3657,0.7355
1.2895,1.2995,-1.8129
1.0768,-1.559,0.3557
1.9153,5.2217,-0.363
-2.0968,0.2068,2.3802
1.5122,-1.562,-1.8551
0.2511,-0.3713,-1.5165
-0.6429,1.5365,-0.1183
-2.009,0.3785,0.2462
-2.753,-0.8407,3.2568
1.9246,2.4741,0.589
-0.8291,0.3593,7.1265
5.7398,-0.0224,2.29
0.7155,0.7453,2.747
1.8253,1.3006,3.9327
-0.8776,0.3969,0.7476
4.1573,-1.5283,1.28
-5.5849,-2.2117,2.5583
-2.1458,-0.534,2.1184
-2.7448,2.4842,-0.0566
6.8762,-2.4409,-1.1642
-3.2691,0.0037,1.4245
-1.7002,-0.8193,3.3652
-4.4147,-0.3214,0.861
-5.2748,-0.0828,-0.0052
-7.0712,2.77,5.9679
-2.3843,1.4944,2.1946
2.3871,5.2097,4.3679
-0.687,-0.1486,4.9533
0.7355,2.5131,-1.9193
-5.0476,3.062,2.8019
-3.8551,2.8302,1.5459
2.5933,4.2126,2.8157
0.3777,0.2208,2.9368
-0.6381,2.5442,-1.8037
1.222,2.8297,-1.8556
-1.6089,1.7554,3.6913
-2.4376,-2.8848,-0.4879
-1.493,1.551,-0.4549
1.6332,-1.5895,0.6316
3.1832,4.3965,4.2879
1.3147,-1.4643,-2.087
-0.7522,-1.3008,-0.2653
-3.7949,-0.9216,-0.3883
2.4396,1.3152,2.2155
-3.2929,2.671,-1.5455
-0.0679,4.076,-1.1404
-1.0409,0.2138,-0.893
-4.8468,-2.8342,1.4454
1.2606,2.1904,4.4283
3.2586,0.0349,2.2399
2.7807,0.364,0.454
-1.2615,0.3479,7.6904
-0.6512,-0.8603,8.1324
0.3356,1.3753,-1.6059
1.0175,6.0495,1.7471
2.3444,2.1042,4.4534
0.779,0.4073,5.2005
5.6787,1.8883,2.7556
5.2364,-6.0275,2.5347
3.5174,0.9419,-0.7195
-3.7168,-0.7097,6.8779
1.6014,0.9051,2.4796
1.4215,-0.8245,-0.436
-7.0563,-3.0775,2.6538
-3.0028,-0.6376,5.043
-4.6688,-2.606,0.0824
-4.166,-1.1369,0.3709
-4.5483,-0.6523,0.9551
-1.6561,3.3394,-0.6198
0.0379,-0.8809,-0.2675
7.6337,-3.2346,1.656
5.5644,-1.1213,3.949
2.2294,3.3136,-1.7049
-6.6921,-2.4514,1.7275
-3.1724,-0.8208,4.3702
-5.537,-0.1721,0.239
-0.6116,2.798,0.1931
-0.859,3.0148,0.7737
0.1241,3.1188,-1.4263
1.0795,-1.7505,-1.5257
9.364,-2.4584,3.6568
2.6168,0.9656,4.9966
-0.9638,-1.196,1.8058
-6.1362,0.9955,-0.4615
-0.5544,1.298,5.9985
0.696,-1.9634,-0.2366
-5.3841,-2.9764,1.686
-4.0125,-0.3847,3.053
-1.3098,0.2502,8.0426
1.3193,1.5315,2.9121
-1.448,1.8758,0.3347
-1.1083,-0.548,-0.1837
4.0091,-1.0654,4.9959
-2.4073,1.4186,0.0909
0.1168,-1.2958,-1.1833
-5.5397,0.6161,-1.395
0.7327,1.2131,-1.1733
-4.9866,-2.9937,1.434
2.0736,2.3543,-0.9546
0.9023,1.078,2.1484
-1.558,-0.2842,0.0307
-2.4992,0.2609,5.7145
-1.0981,-0.7831,-0.683
2.6264,-1.3404,0.2401
-2.9604,-0.3579,1.9613
-0.5568,1.1853,4.4701
4.6188,1.6532,1.3703
-1.3187,0.761,3.4505
5.5164,1.5678,3.4774
1.1004,2.0515,-0.072
0.2745,-1.8502,-0.8046
2.2725,-0.0515,-0.7756
-1.8373,2.8001,-0.2189
-1.4911,1.3544,0.3116
0.8303,-0.8494,-1.838
-1.0446,0.3998,-0.3083
-4.659,-0.3543,0.675
2.8851,3.7346,2.9205
1.593,-1.145,-2.3891
-5.1803,0.7909,-1.1586
-4.0845,1.314,5.673
0.5947,0.7813,8.0873
7.3756,-3.6878,-0.6119
5.6393,0.291,-0.6628
-5.3027,0.8841,-0.5589
-1.8634,0.1892,1.7981
2.6699,-1.4438,-0.8313
-4.2027,-0.8395,-0.2133
4.7192,-0.8898,1.0826
1.56,2.8845,-0.4016
5.8192,-1.2286,2.4699
-5.0077,-0.9939,1.0344
1.028,2.556,-1.2117
-1.1823,0.1897,1.2509
-5.58,-0.3055,0.3059
-1.0838,1.0283,0.3788
2.4441,-0.3389,-0.1227
-5.6624,0.6307,8.5538
-2.4516,0.0507,4.7848
2.4506,-0.08,2.9487
-5.6976,-2.0574,1.1153
-2.9389,-1.6629,0.3186
1.5564,1.0357,-1.026
7.426,-4.3552,0.4347
5.258,-3.2767,3.1939
-3.3949,-1.4063,2.3745
1.7647,2.8886,5.9078
4.1625,-0.5866,-0.5886
-5.533,-1.8559,1.3086
6.0832,-0.469,2.5322
-5.9325,-1.0126,-0.0969
-5.6867,1.1423,-0.7368
1.8138,-1.3468,-1.4444
-0.0403,2.2005,-1.6823
0.5041,0.2337,5.7429
-0.9739,-1.7258,-0.1558
0.1263,-1.6366,-1.3017
-1.4177,-0.136,7.0891
0.0107,1.7844,0.1845
3.3714,-0.444,4.008
-2.3027,1.2369,0.1416
1.862,1.5895,6.5851
-1.2516,-0.0286,0.9711
-2.7659,2.653,-0.4661
-0.322,0.9446,-0.8692
3.2545,5.2184,5.7249
-4.0364,0.5078,-1.08
5.3859,-0.0801,2.8627
4.3547,-0.2115,3.289
0.4813,-0.5362,3.9037
-2.9044,0.2155,0.6942
1.5974,0.7487,-1.2306
1.3672,2.1841,-1.7806
3.3593,1.9879,1.215
-5.2595,-0.4162,-0.6514
-4.0943,-2.3089,1.1102
-3.2031,-0.9679,1.8719
0.7528,1.2019,-0.9004
2.6037,-0.479,3.6782
1.6418,4.5214,4.3976
-3.2363,0.6809,2.8864
0.3517,1.3411,6.4475
3.0004,0.4497,2.3867
-2.518,2.4747,-0.8269
1.9718,-1.5852,0.5545
-1.8424,3.3907,-0.1132
-4.3897,0.3104,0.5558
-1.6985,1.0485,-0.6184
-0.0845,2.7936,-0.3415
6.495,0.4902,3.2891
-4.3028,-1.5777,3.2752
-3.7392,-0.7807,1.8343
-3.9274,0.5773,0.8794
0.6133,-1.2332,-1.827
2.6326,-1.3806,6.5958
-0.9414,-1.2872,-1.0654
1.9008,-1.1147,1.079
-5.2535,1.493,7.6226
2.9904,-5.0293,0.2443
1.1573,4.3032,2.922
0.3425,1.6626,-0.8783
-0.9421,2.9166,-1.0404
0.4856,2.0594,-0.6323
0.3766,-1.745,-0.3448
0.1624,-0.0906,3.2487
2.6711,3.1033,3.843
-5.3223,1.708,-1.5875
-5.3796,-2.1903,2.5203
-4.1091,-0.152,1.3328
-3.9011,0.3894,0.6174
-4.6072,-2.0841,3.0157
3.4302,1.9708,5.2328
-5.2508,1.2736,0.0624
-5.2365,-1.8204,1.3356
1.8097,-1.3031,-0.0923
-2.0881,3.4471,-0.8886
1.3441,2.2125,-0.4699
-0.5656,0.0871,3.8721
-4.3521,-2.124,0.6464
0.2738,1.9257,-1.0813
-3.226,-2.5754,4.472
-0.4076,-2.6398,1.1707
1.1662,-1.9967,-0.3933
-0.0859,1.4596,-1.1622
-0.0222,3.1133,-1.0249
-0.7793,2.1765,0.1561
-0.2442,1.4544,-0.3139
2.8536,0.2938,3.2466
-6.224,3.5204,5.3751
-3.1439,0.42,1.7933
2.2577,-0.0482,1.0468
-5.3866,1.0106,-0.8924
0.1449,1.3435,3.2566
-1.3618,4.0555,-1.0589
-0.7053,4.0135,-1.5573
2.8352,3.3394,4.7985
7.2996,-1.7095,2.3296
-1.3762,3.6701,1.3885
-1.1332,0.6512,3.9814
-4.0583,0.2932,-0.6601
6.9711,-1.4112,2.4665
-5.5361,2.4135,7.4339
0.7351,-0.3683,3.0456
2.1052,5.046,-0.3252
1.0185,1.1036,-0.6548
8.0866,-3.5145,2.0137
7.7588,-3.2509,0.8222
1.6682,1.5932,-1.6531
3.4255,-6.5456,2.0473
1.569,-0.0149,5.5878
-0.9963,1.3652,3.6735
-0.0909,1.9905,-0.1
-4.4316,1.2266,-0.5642
1.7301,-1.1583,-1.0317
-0.6188,0.2975,0.1452
-2.5516,0.0003,1.6588
2.5275,1.9838,-2.2568
3.4798,-0.0352,0.9515
-4.9749,1.7733,6.0585
-3.0673,-2.5615,1.4491
-4.2369,-2.1791,2.7061
-1.6384,0.4592,6.3166
-5.5859,0.9107,-0.632
1.2836,2.7854,2.5491
2.6082,-0.3096,1.0403
-5.2142,-2.9416,2.4759
1.0328,-1.4464,-1.1224
-2.6264,-0.1968,0.5093
1.038,0.9812,0.6417
0.5975,1.5837,-1.3007
1.1579,-1.1589,2.541
-0.3717,-0.0022,7.8752
0.8955,1.8837,-0.4738
-5.8116,-2.3514,1.9025
-1.9377,1.6335,0.195
0.6275,-0.3298,6.382
0.7273,2.4901,-1.2721
2.031,3.1172,2.9332
1.6292,-0.9896,1.508
1.6162,4.2268,4.4455
6.1905,-2.6633,2.0732
7.8236,-6.0069,2.5417
5.5125,-2.5636,7.6719
2.3151,-0.6653,2.5023
-3.0847,0.4174,6.9505
0.2607,2.1648,-0.9524
-0.1958,2.6344,3.1664
-4.9451,-0.903,1.1918
-0.5922,-0.7594,-0.2114
-4.8264,0.2572,0.1316
-1.3961,-1.6173,-0.5011
4.1255,-1.083,4.3324
-3.4746,1.8244,-0.434
2.133,0.0783,0.509
2.9365,0.5217,0.5012
-1.7038,2.9026,-2.2876
0.2272,-1.6983,-0.3244
-1.8067,-1.2164,3.0132
0.0987,-1.9189,-1.0123
0.9245,1.9386,-0.7974
2.4932,2.6662,2.2065
3.5564,5.4824,5.5016
3.4092,0.1045,0.5424
0.0924,-2.3416,-0.4332
-1.5883,0.8814,0.2487
-5.4329,2.1877,8.3733
2.3752,0.9639,1.5879
-0.7559,0.4572,0.3428
-4.9498,0.0395,0.4857
0.0183,3.0216,-2.2207
1.1101,1.0993,2.9511
2.7976,0.5053,1.1487
-6.0685,0.8319,6.5537
-2.4132,4.7526,-0.9698
1.8195,-2.5185,-1.4686
-4.4576,0.3336,-1.4918
3.2582,-2.7454,9.4214
0.0048,2.763,-1.9609
-2.3023,1.7201,0.1003
-0.1761,2.451,-0.2082
4.7905,0.4445,-0.8379
3.4897,1.9354,3.013
0.8794,1.2166,-0.9126
0.242,-0.5608,1.6709
-4.9331,4.0518,3.561
0.1743,2.6479,-1.1033
-3.6174,-0.127,2.3384
-0.9617,-1.4093,-0.5456
-0.6021,-1.29,-1.7191
-2.9056,1.4201,0.6644
-0.453,1.1906,-2.2037
5.0531,0.1993,1.1452
-2.2262,2.9886,0.2996
1.6638,1.7136,4.845
-4.5722,1.9117,-0.8589
